,Wardname,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,District,Ward,PopPlusDistrict,Wardcode,hhSocialRented,JobSeekers,Noqual,Carsperhousehold,Crimerate,Openspace,Districtcode,Combinedlifeexpectancy
90,Barking and Dagenham - Alibon,10385.0,103.7,76.3,80.9,26.4034665382764,10.4,29.9,24.7,7.9,Barking and Dagenham,Alibon,"10385, Barking and Dagenham",00ABFY,36.8,10.2,31.2,0.8,93.2,22.4,00AB,78.6
91,Hillingdon - Ickenham,10387.0,57.1,81.9,85.4,18.638682969096,19.9,21.8,15.9,2.8,Hillingdon,Ickenham,"10387, Hillingdon",00ASGR,4.4,1.6,14.6,1.6,43.5,55.7,00AS,83.65
92,Richmond upon Thames - Twickenham Riverside,10396.0,73.8,78.4,81.0,17.131589072720303,12.4,10.3,26.8,7.2,Richmond upon Thames,Twickenham Riverside,"10396, Richmond upon Thames",00BDGM,6.2,1.5,6.2,0.9,75.8,37.8,00BD,79.7
93,Greenwich - Eltham West,10399.0,47.9,74.2,81.7,21.992499278776805,12.3,24.6,21.3,6.4,Greenwich,Eltham West,"10399, Greenwich",00ALGW,44.1,6.2,30.8,0.9,61.6,30.5,00AL,77.95
94,Harrow - Pinner South,10411.0,61.1,82.7,93.1,21.160311209297898,17.1,40.6,29.4,6.8,Harrow,Pinner South,"10411, Harrow",00AQGM,6.7,1.9,11.4,1.4,0.9,22.2,00AQ,87.9
95,Merton - St. Helier,10414.0,98.3,78.6,81.6,21.5959285577108,13.3,35.0,33.0,11.7,Merton,St. Helier,"10414, Merton",00BAGN,31.0,6.2,23.7,0.9,66.5,41.6,00BA,80.1
96,Bexley - Barnehurst,10418.0,61.0,78.6,85.8,18.9671722019581,18.2,9.8,8.0,1.3,Bexley,Barnehurst,"10418, Bexley",00ADGA,10.7,3.5,23.1,1.3,41.8,35.8,00AD,82.19999999999999
97,Redbridge - Monkhams,10422.0,53.7,80.9,82.5,16.973709460756098,20.7,21.1,18.8,3.8,Redbridge,Monkhams,"10422, Redbridge",00BCGN,4.4,1.9,15.0,1.4,56.3,29.9,00BC,81.7
98,Bexley - Longlands,10442.0,52.5,79.6,81.3,16.2995594713656,21.7,9.4,9.9,2.1,Bexley,Longlands,"10442, Bexley",00ADGQ,13.2,2.8,20.9,1.2,40.7,30.0,00AD,80.44999999999999
99,Kingston upon Thames - Surbiton Hill,10459.0,54.2,79.1,81.9,16.703317716798903,13.5,19.0,25.0,7.0,Kingston upon Thames,Surbiton Hill,"10459, Kingston upon Thames",00AXGL,7.5,1.7,10.7,1.0,30.3,5.8,00AX,80.5
100,Hillingdon - Northwood,10469.0,50.4,81.4,83.9,15.827681727003501,20.9,34.8,31.8,7.0,Hillingdon,Northwood,"10469, Hillingdon",00ASGT,14.2,2.3,13.3,1.3,57.1,61.0,00AS,82.65
101,Kingston upon Thames - St. Mark's,10483.0,54.8,81.4,81.3,11.0750739292187,8.2,21.3,29.1,8.9,Kingston upon Thames,St. Mark's,"10483, Kingston upon Thames",00AXGK,6.7,2.9,6.7,0.9,63.1,23.9,00AX,81.35
102,Bexley - St. Mary's,10491.0,61.2,80.7,92.6,18.139357544562,21.0,8.4,8.1,1.1,Bexley,St. Mary's,"10491, Bexley",00ADGT,4.1,2.1,18.9,1.4,41.7,46.8,00AD,86.65
103,Barking and Dagenham - Eastbrook,10506.0,65.9,76.6,79.0,21.245002855511103,14.7,24.8,19.0,4.5,Barking and Dagenham,Eastbrook,"10506, Barking and Dagenham",00ABGB,20.0,8.8,29.9,1.1,72.4,51.1,00AB,77.8
104,Richmond upon Thames - West Twickenham,10528.0,88.4,79.2,83.4,21.789513677811602,11.7,16.0,21.1,4.4,Richmond upon Thames,West Twickenham,"10528, Richmond upon Thames",00BDGN,11.5,2.1,13.4,1.1,48.8,45.6,00BD,81.30000000000001
105,Sutton - Sutton West,10536.0,63.2,79.4,82.2,18.0713743356112,13.9,23.0,25.1,7.8,Sutton,Sutton West,"10536, Sutton",00BFGQ,3.9,2.5,13.5,1.1,39.9,23.1,00BF,80.80000000000001
106,Bexley - Brampton,10546.0,43.9,80.4,84.9,17.2482457803907,20.9,13.1,10.4,1.6,Bexley,Brampton,"10546, Bexley",00ADGE,4.4,2.7,22.9,1.3,31.7,9.2,00AD,82.65
107,Westminster - West End,10575.0,38.1,93.2,99.6,7.9148936170212805,10.9,32.4,56.8,24.2,Westminster,West End,"10575, Westminster",00BKGW,23.5,3.4,9.6,0.4,2100.2,3.9,00BK,96.4
108,Barking and Dagenham - Whalebone,10575.0,84.0,81.0,84.1,23.6501182033097,11.6,44.0,29.2,8.4,Barking and Dagenham,Whalebone,"10575, Barking and Dagenham",00ABGP,12.3,6.9,24.0,1.0,90.7,16.4,00AB,82.55
