,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,District,Ward
184,49.4,78.8,88.6,14.5598194130926,7.2,27.9,44.1,15.8,Hammersmith and Fulham,Addison
185,76.7,85.4,82.2,18.7559559906437,11.8,19.1,30.3,8.9,Hounslow,Chiswick Riverside
186,70.2,79.9,84.3,19.3797106471455,14.5,30.0,22.8,5.7,Redbridge,Wanstead
187,67.4,75.3,81.0,25.4395842355998,9.5,41.2,30.1,10.5,Barking and Dagenham,Becontree
188,47.0,73.6,82.4,13.6674456851034,9.6,25.3,33.1,10.0,Islington,St. Mary's
189,58.2,74.5,81.9,18.499610625594897,8.3,51.8,43.8,13.7,Southwark,East Walworth
190,84.3,73.5,77.3,19.9688662111909,13.6,38.9,35.7,14.1,Hounslow,Feltham North
191,89.6,74.0,79.0,26.8026975618191,10.6,27.0,18.8,3.3,Bexley,North End
192,76.7,78.9,86.0,18.863361547763,17.5,33.3,27.9,7.1,Hillingdon,Northwood Hills
193,42.3,79.1,89.8,12.5722668047286,6.6,34.2,47.9,19.4,Hammersmith and Fulham,North End
194,90.9,79.9,85.2,26.9184445973847,9.5,41.7,32.2,11.9,Barking and Dagenham,Eastbury
195,79.3,77.3,84.6,24.067067927773,9.0,24.8,19.8,5.7,Sutton,Wandle Valley
196,50.0,79.5,85.4,15.362792297111401,11.7,18.9,31.5,8.2,Haringey,Highgate
197,64.2,76.7,80.5,17.0190820010315,9.7,23.5,30.9,9.3,Islington,Highbury East
198,91.0,79.6,83.9,20.2866214708659,11.4,65.3,56.5,24.8,Harrow,Edgware
199,83.0,81.1,83.7,20.7893607893608,13.4,20.0,21.5,6.1,Sutton,Worcester Park
200,50.0,79.4,83.6,20.029164522216497,13.4,28.1,21.6,6.7,Redbridge,Bridge
201,59.2,80.6,84.0,20.6210327671985,15.7,19.7,16.7,3.7,Hillingdon,Cavendish
202,69.2,81.6,82.6,22.841464460258898,11.0,66.3,48.4,19.8,Harrow,Roxeth
203,51.8,84.5,89.4,16.0679238842905,18.9,19.7,15.7,2.2,Croydon,Selsdon and Ballards
204,53.4,74.9,82.7,22.3197545594,7.9,51.6,35.1,10.9,Hackney,Wick
205,52.6,80.7,84.8,15.0425894378194,9.7,29.0,43.4,16.1,Camden,Fortune Green
206,40.0,77.0,89.9,16.2782786188127,6.9,25.9,31.3,9.0,Haringey,Stroud Green
207,54.3,73.4,76.4,23.163265306122398,11.4,61.7,52.7,27.2,Westminster,Church Street
208,56.8,74.9,80.6,19.2470747837884,9.0,33.7,32.9,10.4,Islington,Hillrise
209,65.8,79.2,83.5,21.610852055955895,9.9,20.5,26.8,8.5,Haringey,Alexandra
210,69.5,75.8,81.6,20.4029800203183,11.7,36.6,30.7,5.3,Southwark,College
211,62.3,76.7,80.1,14.819827440365401,9.8,25.6,32.0,9.5,Islington,St. Peter's
212,34.1,76.9,81.5,14.506459511947998,7.2,49.2,50.9,22.4,Camden,King's Cross
